RNK,"PLAYER, TEAM POS",C/A,YDS,TD,INT,RUSH,REC,PTS
1,"Le'Veon Bell, Pit RB",0/0,635,3,0,306.9,79.4,352.2
2,"Todd Gurley II, LAR RB",0/0,594.8,2.6,0,283.6,67.1,329.8
3,"David Johnson, Ari RB",0/0,739.4,2.9,0,266,76.7,326.1
4,"Antonio Brown, Pit WR",0/0,1575.6,8.6,0,0,110.5,321.2
5,"Tom Brady, NE QB",391.1/606.2,0,0,7.9,29.9,0,319
6,"Aaron Rodgers, GB QB",360.8/565.9,0,0,9.3,57.9,0,315.9
7,"Cam Newton, Car QB",312.8/529.7,0,0,14.1,128.2,0,307.5
8,"Carson Wentz, Phi QB  Q",357.7/577.6,0,0,12,70.4,0,303.9
9,"Russell Wilson, Sea QB",321.9/521.1,0,0,10.6,92.3,0,301.9
10,"Ezekiel Elliott, Dal RB",0/0,370.4,1.2,0,323.9,43.5,294.3
11,"Alvin Kamara, NO RB",0/0,716.5,2.8,0,186,74.4,293.5
12,"Andrew Luck, Ind QB",365.6/584.8,0,0,15.9,59.6,0,292
13,"Julio Jones, Atl WR",0/0,1485.5,7.5,0,2,94.4,289.7
14,"Saquon Barkley, NYG RB",0/0,533.3,2.6,0,257.9,60.1,285.7
15,"DeAndre Hopkins, Hou WR",0/0,1325.5,9.5,0,0,94.4,284.3
16,"Alex Smith, Wsh QB",359/556.7,0,0,7.9,57.1,0,282.8
17,"Deshaun Watson, Hou QB",309.1/514,0,0,16.7,87.4,0,282.3
18,"Keenan Allen, LAC WR",0/0,1306.9,7.7,0,2.1,101.2,279.2
19,"Matthew Stafford, Det QB",372.9/574.7,0,0,10.8,31.1,0,278.9
20,"Odell Beckham Jr., NYG WR",0/0,1300,7.7,0,3.5,99.2,278.2
21,"Kirk Cousins, Min QB",372.7/571.6,0,0,14.2,46.6,0,277.7
22,"Michael Thomas, NO WR",0/0,1263.1,8.5,0,0,100,277.3
23,"Ben Roethlisberger, Pit QB",376/583.7,0,0,14.6,28.2,0,276.8
24,"Drew Brees, NO QB",386.5/569.3,0,0,12.4,26.9,0,272.6
