PLAYER,POSITION,TEAM,PASS YDS,PASS TD,INT,RUSH,RUSH YDS,RUSH TD,REC,REC YDS,REC TD,PROJ PTS,ADP,2QB RANK
Todd Gurley II,RB,LAR,0,0,0,283.6,1274.4,10.5,67.2,584.3,2.6,329.4,2.1,1.0
Le'Veon Bell,RB,Pit,0,0,0,306.9,1319.4,10,79.4,637.7,3,352.4,1.6,2.0
David Johnson,RB,Ari,0,0,0,266,1087.2,8.4,76.5,728.5,2.9,325.4,4.1,3.0
Ezekiel Elliott,RB,Dal,0,0,0,323.9,1403.6,11.3,47.2,393.8,1.4,302.2,4.1,4.0
Antonio Brown,WR,Pit,0,0,0,0,0,0,110.4,1582.4,8.7,322.4,5.4,5.0
Saquon Barkley,RB,NYG,0,0,0,250.2,1098.8,7.3,59.9,531.1,2.7,281.6,7.4,6.0
Alvin Kamara,RB,NO,0,0,0,186,842.6,7.8,74,701.4,2.8,291.4,7.0,7.0
Aaron Rodgers,QB,GB,4020.6,33.6,9.3,57.9,308.8,1.7,0,0,0,316.2,27.4,8.0
Melvin Gordon,RB,LAC,0,0,0,263.5,1024.1,6.4,60,497.4,2.3,263.5,14.6,9.0
DeAndre Hopkins,WR,Hou,0,0,0,0,0,0,94.2,1320.9,9.1,281.2,9.4,10.0
Leonard Fournette,RB,Jax,0,0,0,309.9,1202.2,10.1,39.6,326.6,1,258.3,11.8,11.0
Kareem Hunt,RB,KC,0,0,0,236.2,998.7,8,55.2,445,1.9,258.2,10.7,12.0
Odell Beckham Jr.,WR,NYG,0,0,0,3.5,20.6,0.1,98.9,1294.7,7.8,277.9,10.6,13.0
Dalvin Cook,RB,Min,0,0,0,261.2,1107.7,6.7,53.9,500.4,2,265.5,13.3,14.0
Julio Jones,WR,Atl,0,0,0,2,12.4,0.1,94.5,1488.4,7.8,291.9,13.7,15.0
Deshaun Watson,QB,Hou,3733.4,25.9,16.8,87.4,443.9,2.6,0,0,0,278,52.1,16.0
Russell Wilson,QB,Sea,3693.4,25.8,10.2,92.9,487.5,2.7,0,0,0,294.2,60.5,17.0
Michael Thomas,WR,NO,0,0,0,0,0,0,100.1,1268.3,8.6,278.5,17.8,18.0
Keenan Allen,WR,LAC,0,0,0,2.1,12.7,0,101.2,1303.6,7.8,279.5,15.9,19.0
Devonta Freeman,RB,Atl,0,0,0,223.2,938.9,8.6,42.1,360.8,1.9,234.4,20.4,20.0
Christian McCaffrey,RB,Car,0,0,0,163,652.2,4.2,78.8,685.2,3.1,256.2,20.0,21.0
Tom Brady,QB,NE,4727.7,33,7.9,29.9,30,1.9,0,0,0,317.9,32.3,22.0
Davante Adams,WR,GB,0,0,0,0,0,0,85.9,1087.5,9.7,253.1,22.5,23.0
A.J. Green,WR,Cin,0,0,0,0,0,0,89.6,1297,8,267.1,19.6,24.0
Jordan Howard,RB,Chi,0,0,0,239.2,1022.9,7,29.1,233.2,0.9,201.4,33.2,25.0
Drew Brees,QB,NO,4389.1,27.9,12.4,26.9,31.2,1.5,0,0,0,272.5,82.4,26.0
Cam Newton,QB,Car,3774.8,22.4,14.1,123.8,605.5,5.7,0,0,0,305.6,52.4,27.0
Joe Mixon,RB,Cin,0,0,0,226.9,891.9,5.9,42.4,341.5,1.1,207.2,31.0,28.0
Rob Gronkowski,TE,NE,0,0,0,0,0,0,72.6,1123.2,8.6,236.6,20.3,29.0
Mike Evans,WR,TB,0,0,0,0,0,0,76.3,1062.4,8.4,233.4,25.7,30.0
Carson Wentz,QB,Phi,3877.6,27.8,11.2,66.1,256.1,2.6,0,0,0,284.6,58.5,31.0
T.Y. Hilton,WR,Ind,0,0,0,0,0,0,75.1,1249.1,7,242.1,30.3,32.0
Jerick McKinnon,RB,SF,0,0,0,217,876.1,6.6,54.1,407.2,1.3,229.5,29.8,33.0
LeSean McCoy,RB,Buf,0,0,0,243.8,1098,6,56.9,436.6,1.5,254.4,23.1,34.0
Stefon Diggs,WR,Min,0,0,0,8.3,47.2,0.2,82.6,1045,5.9,228.2,31.8,35.0
Kirk Cousins,QB,Min,4324.3,27.4,14.3,46.6,135.6,2.1,0,0,0,277.9,90.1,36.0
Andrew Luck,QB,Ind,4292.3,27.9,16.1,59.6,284.7,1.5,0,0,0,287.4,81.6,37.0
Travis Kelce,TE,KC,0,0,0,1.8,7.2,0.1,81.4,1006.7,5.7,217.5,26.4,38.0
Derrick Henry,RB,Ten,0,0,0,222.7,939.1,7.2,23.7,203.9,0.8,185.4,47.9,39.0
Tyreek Hill,WR,KC,0,0,0,18.2,122.7,0.6,79.9,1034.7,4.8,231.1,34.1,40.0
Jimmy Garoppolo,QB,SF,4352.2,23.8,12.7,42.9,107.4,1.9,0,0,0,263.6,108.1,41.0
